Ano,MesNum,Mes,Valor
2023,1,Jan,0.0
2023,2,Fev,0.0
2023,3,Mar,0.0
2023,4,Abr,0.0
2023,5,Mai,0.0
2023,6,Jun,0.0
2023,7,Jul,0.0
2023,8,Ago,0.0
2023,9,Set,0.0
2023,10,Out,0.0
2023,11,Nov,0.0
2023,12,Dez,0.0
2024,1,Jan,0.0
2024,2,Fev,0.0
2024,3,Mar,0.0
2024,4,Abr,0.0
2024,5,Mai,0.0
2024,6,Jun,0.0
2024,7,Jul,0.0
2024,8,Ago,0.0
2024,9,Set,0.0
2024,10,Out,0.0
2024,11,Nov,1826256.86
2024,12,Dez,2206168.86
2025,1,Jan,1966168.86
2025,2,Fev,1917592.86
2025,3,Mar,1918024.86
2025,4,Abr,1960555.36
2025,5,Mai,1922153.36
2025,6,Jun,1976657.36
2025,7,Jul,2003657.36
2025,8,Ago,1973955.86
2025,9,Set,1941311.36
2025,10,Out,1923239.36
2025,11,Nov,0.0
2025,12,Dez,0.0
2026,1,Jan,0.0
2026,2,Fev,0.0
2026,3,Mar,0.0
2026,4,Abr,0.0
2026,5,Mai,0.0
2026,6,Jun,0.0
2026,7,Jul,0.0
2026,8,Ago,0.0
2026,9,Set,0.0
2026,10,Out,0.0
2026,11,Nov,0.0
2026,12,Dez,0.0
